group_id,slice_type,name,covered,usage_count
fixed_threshold_gate,capability_bucket,sequence_core,True,2
fixed_threshold_gate,capability_bucket,quality_qc,True,1
fixed_threshold_gate,capability_bucket,objective_scoring,False,0
fixed_threshold_gate,capability_bucket,structure_prediction,True,1
fixed_threshold_gate,capability_bucket,similarity_search,False,0
fixed_threshold_gate,capability_bucket,secondary_structure,False,0
fixed_threshold_gate,capability,quality_qc,True,1
fixed_threshold_gate,capability,sequence_design,True,1
fixed_threshold_gate,capability,sequence_generation,True,1
fixed_threshold_gate,capability,structure_prediction,True,1
fixed_threshold_gate,tool,biopython_qc,True,1
fixed_threshold_gate,tool,openfold,True,1
fixed_threshold_gate,tool,protein_mpnn,True,1
fixed_threshold_gate,tool,protgpt2,True,1
dynamic_no_belief_state,capability_bucket,sequence_core,True,2
dynamic_no_belief_state,capability_bucket,quality_qc,True,2
dynamic_no_belief_state,capability_bucket,objective_scoring,True,1
dynamic_no_belief_state,capability_bucket,structure_prediction,True,2
dynamic_no_belief_state,capability_bucket,similarity_search,False,0
dynamic_no_belief_state,capability_bucket,secondary_structure,False,0
dynamic_no_belief_state,capability,objective_scoring,True,1
dynamic_no_belief_state,capability,quality_qc,True,2
dynamic_no_belief_state,capability,sequence_design,True,1
dynamic_no_belief_state,capability,sequence_generation,True,1
dynamic_no_belief_state,capability,structure_prediction,True,2
dynamic_no_belief_state,tool,biopython_qc,True,2
dynamic_no_belief_state,tool,objective_ranker,True,1
dynamic_no_belief_state,tool,openfold,True,2
dynamic_no_belief_state,tool,protein_mpnn,True,1
dynamic_no_belief_state,tool,protgpt2,True,1
lite_belief_state,capability_bucket,sequence_core,True,2
lite_belief_state,capability_bucket,quality_qc,True,1
lite_belief_state,capability_bucket,objective_scoring,True,1
lite_belief_state,capability_bucket,structure_prediction,True,1
lite_belief_state,capability_bucket,similarity_search,False,0
lite_belief_state,capability_bucket,secondary_structure,False,0
lite_belief_state,capability,objective_scoring,True,1
lite_belief_state,capability,quality_qc,True,1
lite_belief_state,capability,sequence_design,True,1
lite_belief_state,capability,sequence_generation,True,1
lite_belief_state,capability,structure_prediction,True,1
lite_belief_state,tool,biopython_qc,True,1
lite_belief_state,tool,objective_ranker,True,1
lite_belief_state,tool,openfold,True,1
lite_belief_state,tool,protein_mpnn,True,1
lite_belief_state,tool,protgpt2,True,1
